"key","value","description"
"desc.control_n",35,"n control days"
"desc.melatonin_n",35,"n melatonin days"
"desc.diff",0.919,"mean difference (melatonin - control), 0-100 mood"
"desc.welch_t",0.6965,"Welch t for mean difference"
"desc.welch_df",60.5863,"Welch df"
"desc.welch_p",0.4888,"two-sided p for mean difference"
"desc.cohens_d",0.1665,"Cohen's d (pooled)"
"tost.ci90_lo",-1.2851,"lower 90% CI of mean difference"
"tost.ci90_hi",3.1232,"upper 90% CI of mean difference"
"tost.sesoi5.delta",5,"SESOI bound in points, +/-5"
"tost.sesoi5.d_bound",0.906,"SESOI as Cohen's d, +/-5"
"tost.sesoi5.p",0.001499,"TOST p at +/-5 (max of two one-sided tests)"
"tost.sesoi5.equivalent",1,"equivalence established at +/-5 (1/0)"
"tost.sesoi3.delta",3,"SESOI bound in points, +/-3"
"tost.sesoi3.d_bound",0.543,"SESOI as Cohen's d, +/-3"
"tost.sesoi3.p",0.06,"TOST p at +/-3 (max of two one-sided tests)"
"tost.sesoi3.equivalent",0,"equivalence established at +/-3 (1/0)"
